bodyparts,nose,nose
coords,x,y
706,329.56854248046900,292.4621887207030
707,382.9712219238280,212.85528564453100
708,379.5785217285160,213.06784057617200
709,377.4558410644530,211.40948486328100
710,329.7153015136720,291.3325500488280
711,339.33770751953100,296.947998046875
712,196.46067810058600,318.5475769042970
713,340.4634704589840,294.3624267578130
714,341.0292053222660,294.5879211425780
715,270.1573486328130,306.04730224609400
716,372.11578369140600,207.2745361328130
717,372.7792663574220,206.74932861328100
718,373.93212890625,204.51502990722700
719,342.5235595703130,293.552734375
720,383.2804870605470,217.11935424804700
721,343.4471130371090,293.8200378417970
722,343.30731201171900,294.4906005859380
723,343.6593322753910,294.3672180175780
724,364.202392578125,231.0934295654300
725,344.3509826660160,294.710205078125
726,343.9013366699220,292.75177001953100
727,344.951904296875,291.1343688964840
728,379.8507080078130,224.6764373779300
729,371.0067138671880,224.4716796875
730,370.8548278808590,219.2461395263670
731,371.9306640625,213.10374450683600
732,382.0817565917970,202.23977661132800
733,383.07000732421900,203.60650634765600
734,382.4303283691410,201.49057006835900
735,389.0789794921880,202.2635498046880
736,384.4284362792970,202.39230346679700
737,386.9138488769530,209.27586364746100
738,388.41607666015600,208.01834106445300
739,390.4557189941410,203.28555297851600
740,388.244873046875,199.7342529296880
741,365.15234375,228.5471954345700
742,392.6061096191410,201.35299682617200
743,403.5509338378910,203.5637664794920
744,394.4782409667970,214.02699279785200
745,402.7735900878910,211.28030395507800
746,405.3273620605470,212.96273803710900
747,405.0168151855470,211.17063903808600
748,406.05450439453100,209.557861328125
749,387.8195495605470,226.17466735839800
750,400.9318542480470,201.89537048339800
751,396.47113037109400,200.37779235839800
752,395.87969970703100,198.00730895996100
753,373.01885986328100,228.91600036621100
754,385.72296142578100,212.15074157714800
755,386.9558410644530,210.58224487304700
756,385.095703125,205.9955291748050
757,382.7300109863280,174.59524536132800
758,370.2635803222660,203.0920867919920
759,372.56597900390600,158.361328125
760,372.26678466796900,158.95286560058600
761,370.927734375,151.16928100585900
762,372.80462646484400,146.93978881835900
763,373.9055480957030,136.14157104492200
764,373.49786376953100,130.7154083251950
765,376.64544677734400,128.81968688964800
766,383.36572265625,121.73279571533200
767,387.4971923828130,118.80155181884800
768,414.750732421875,132.4466552734380
769,429.70648193359400,132.5699005126950
770,446.77276611328100,144.96583557128900
771,454.5540466308590,146.04823303222700
772,409.8260498046880,162.3622589111330
773,470.2669982910160,147.5303192138670
774,428.7912292480470,152.93582153320300
775,428.9832763671880,151.41445922851600
776,431.7979736328130,152.4364471435550
777,429.5035095214840,152.32937622070300
778,431.408203125,148.53692626953100
779,431.55010986328100,142.0171661376950
780,433.95172119140600,139.05166625976600
781,500.716552734375,130.513427734375
782,440.9690856933590,154.25794982910200
783,441.12060546875,142.03294372558600
784,439.3930358886720,147.22640991210900
785,524.2289428710940,236.75157165527300
786,458.879638671875,208.0941162109380
