scorer,DLC_resnet50_fc_chamber_test_#2Jan19shuffle1_100000,DLC_resnet50_fc_chamber_test_#2Jan19shuffle1_100000,DLC_resnet50_fc_chamber_test_#2Jan19shuffle1_100000,DLC_resnet50_fc_chamber_test_#2Jan19shuffle1_100000,DLC_resnet50_fc_chamber_test_#2Jan19shuffle1_100000,DLC_resnet50_fc_chamber_test_#2Jan19shuffle1_100000,DLC_resnet50_fc_chamber_test_#2Jan19shuffle1_100000,DLC_resnet50_fc_chamber_test_#2Jan19shuffle1_100000,DLC_resnet50_fc_chamber_test_#2Jan19shuffle1_100000,DLC_resnet50_fc_chamber_test_#2Jan19shuffle1_100000,DLC_resnet50_fc_chamber_test_#2Jan19shuffle1_100000,DLC_resnet50_fc_chamber_test_#2Jan19shuffle1_100000
bodyparts,nose,nose,nose,left ear,left ear,left ear,right ear,right ear,right ear,ear center,ear center,ear center
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
97,503.8025817871094,286.2731628417969,0.9977371692657471,429.3932189941406,261.5805969238281,0.9954533576965332,460.4885559082031,306.89996337890625,0.9978996515274048,445.1971435546875,286.1466064453125,0.9994470477104187
98,519.7776489257812,286.1985168457031,0.9984136819839478,443.5710144042969,267.3632507324219,0.9924049973487854,475.64874267578125,315.533447265625,0.995387613773346,458.4149169921875,293.2270812988281,0.999606192111969
99,536.37841796875,293.05462646484375,0.9936343431472778,459.86322021484375,268.8272705078125,0.9887189269065857,487.11737060546875,319.4952392578125,0.9982308745384216,472.8941345214844,296.1361999511719,0.9990692734718323
100,553.1053466796875,304.51153564453125,0.9954314231872559,478.1311340332031,265.4156494140625,0.9905029535293579,498.94598388671875,318.6203918457031,0.9985533356666565,487.2480773925781,293.3570861816406,0.9997342228889465
101,574.457763671875,296.1782531738281,0.9980992674827576,500.11431884765625,261.65386962890625,0.9922634363174438,515.4727783203125,317.24169921875,0.9985442161560059,504.81988525390625,289.0509948730469,0.9993447661399841
102,592.362060546875,293.430419921875,0.9987199306488037,519.595947265625,257.179931640625,0.9902716279029846,532.2581176757812,312.5923767089844,0.9987159967422485,523.7275390625,285.1748046875,0.999218225479126
103,607.4851684570312,292.3233337402344,0.9988411068916321,537.9490356445312,253.59689331054688,0.9807028770446777,549.2271728515625,308.8288879394531,0.9993422627449036,542.357421875,281.98394775390625,0.9995781779289246
104,625.37841796875,293.9183349609375,0.9992558360099792,554.2511596679688,251.05319213867188,0.984317421913147,565.849853515625,307.1620178222656,0.999299168586731,556.7916870117188,278.1446838378906,0.9998114705085754
105,636.8203735351562,284.7767639160156,0.9980504512786865,568.818359375,247.12130737304688,0.9965233206748962,581.8839111328125,301.3391418457031,0.9992899894714355,573.4243774414062,272.36712646484375,0.9998319149017334
106,637.3548583984375,278.3401184082031,0.9985198378562927,570.0700073242188,238.20167541503906,0.9939881563186646,592.2494506835938,291.06524658203125,0.9985371828079224,580.20166015625,266.0652160644531,0.9997536540031433
